route_dir,route_id,direction_id,trip_id_representative,stop_sequence_canonical,stop_id,stop_name
1A_0,1A,0,1A_D0_T001,14,HT_234,Superindo Urip Sumoharjo
1A_0,1A,0,1A_D0_T001,15,HT_168,RS Bethesda
1A_0,1A,0,1A_D0_T001,16,HT_065,Jend. Sudirman - A
1A_0,1A,0,1A_D0_T001,17,HT_114,Mangkubumi 1
1A_0,1A,0,1A_D0_T001,18,HT_115,Mangkubumi 2
1A_0,1A,0,1A_D0_T001,19,HT_110,Malioboro 1
1A_0,1A,0,1A_D0_T001,20,HT_111,Malioboro 2
1A_0,1A,0,1A_D0_T001,21,HT_112,Malioboro 3
1A_0,1A,0,1A_D0_T001,22,HT_213,Senopati
1A_0,1A,0,1A_D0_T001,23,HT_129,Pakualaman
1A_0,1A,0,1A_D0_T001,24,HT_047,Gedung Wanita
1A_0,1A,0,1A_D0_T001,25,HT_183,SGM Kusumanegara - A
1A_0,1A,0,1A_D0_T001,26,HT_183,SGM Kusumanegara - A
1A_0,1A,0,1A_D0_T001,27,HT_061,JEC
1A_0,1A,0,1A_D0_T001,28,HT_019,Blok O
1A_0,1A,0,1A_D0_T001,29,HT_063,Janti Utara
1A_0,1A,0,1A_D0_T001,30,HT_077,KR - A
1A_0,1A,0,1A_D0_T001,31,HT_012,Bandara Adisujtipto
1B_0,1B,0,1B_D0_T001,0,HT_064,Jayakarta
1B_0,1B,0,1B_D0_T001,1,HT_207,Sahid J-Walk
1B_0,1B,0,1B_D0_T001,2,HT_010,Babarsari - A
1B_0,1B,0,1B_D0_T001,3,HT_010,Babarsari - A
1B_0,1B,0,1B_D0_T001,4,HT_169,RS Hardjolukito
1B_0,1B,0,1B_D0_T001,5,HT_272,Wonocatur
1B_0,1B,0,1B_D0_T001,6,HT_007,BKPM
1B_0,1B,0,1B_D0_T001,7,HT_048,Gembira Loka - A
1B_0,1B,0,1B_D0_T001,8,HT_183,SGM Kusumanegara - A
1B_0,1B,0,1B_D0_T001,9,HT_064,Jayakarta
1B_0,1B,0,1B_D0_T001,10,HT_183,SGM Kusumanegara - A
1B_0,1B,0,1B_D0_T001,11,HT_122,Museum Biologi
1B_0,1B,0,1B_D0_T001,12,HT_213,Senopati
1B_0,1B,0,1B_D0_T001,13,HT_016,Bhayangkara
1B_0,1B,0,1B_D0_T001,14,HT_143,Pasar Pathuk
1B_0,1B,0,1B_D0_T001,15,HT_271,Wojo (Randubelang) - A
1B_0,1B,0,1B_D0_T001,16,HT_069,Jlagran
1B_0,1B,0,1B_D0_T001,17,HT_209,Samsat
1B_0,1B,0,1B_D0_T001,18,HT_194,SMPN 1 - A
1B_0,1B,0,1B_D0_T001,19,HT_219,Simpang Gesikan - A
1B_0,1B,0,1B_D0_T001,20,HT_024,Cik Di Tiro
1B_0,1B,0,1B_D0_T001,21,HT_194,SMPN 1 - A
1B_0,1B,0,1B_D0_T001,22,HT_093,Kosudgama
1B_0,1B,0,1B_D0_T001,23,HT_261,UNY Colombo
1B_0,1B,0,1B_D0_T001,24,HT_167,RRI Gejayan
1B_0,1B,0,1B_D0_T001,25,HT_211,Santren
1B_0,1B,0,1B_D0_T001,26,HT_245,Terminal Condongcatur
1B_0,1B,0,1B_D0_T001,27,HT_211,Santren
1B_0,1B,0,1B_D0_T001,28,HT_210,Sanata Dharma
1B_0,1B,0,1B_D0_T001,29,HT_028,Demangan
1B_0,1B,0,1B_D0_T001,30,HT_026,De Britto
1B_0,1B,0,1B_D0_T001,31,HT_003,Ambarukmo - A
1B_0,1B,0,1B_D0_T001,32,HT_062,Janti Selatan
1B_0,1B,0,1B_D0_T001,33,HT_063,Janti Utara
1B_0,1B,0,1B_D0_T001,34,HT_068,Jl. Suroto
1B_0,1B,0,1B_D0_T001,35,HT_012,Bandara Adisujtipto
2A_0,2A,0,2A_D0_T001,0,HT_119,Monjali - A
2A_0,2A,0,2A_D0_T001,1,HT_247,Terminal Jombor
2A_0,2A,0,2A_D0_T001,2,HT_119,Monjali - A
2A_0,2A,0,2A_D0_T001,3,HT_119,Monjali - A
2A_0,2A,0,2A_D0_T001,4,HT_087,Karangjati - A
2A_0,2A,0,2A_D0_T001,5,HT_001,AM Sangaji - A
2A_0,2A,0,2A_D0_T001,6,HT_077,KR - A
2A_0,2A,0,2A_D0_T001,7,HT_114,Mangkubumi 1
2A_0,2A,0,2A_D0_T001,8,HT_115,Mangkubumi 2
2A_0,2A,0,2A_D0_T001,9,HT_110,Malioboro 1
2A_0,2A,0,2A_D0_T001,10,HT_111,Malioboro 2
2A_0,2A,0,2A_D0_T001,11,HT_112,Malioboro 3
2A_0,2A,0,2A_D0_T001,12,HT_213,Senopati
2A_0,2A,0,2A_D0_T001,13,HT_089,Katamso
2A_0,2A,0,2A_D0_T001,14,HT_162,Pujokusuman
2A_0,2A,0,2A_D0_T001,15,HT_205,STIE Kerjasama
2A_0,2A,0,2A_D0_T001,16,HT_170,RS Hidayatullah
2A_0,2A,0,2A_D0_T001,17,HT_045,Gambiran - A
2A_0,2A,0,2A_D0_T001,18,HT_030,Diklat PU
2A_0,2A,0,2A_D0_T001,19,HT_201,SMPN 9 - A
2A_0,2A,0,2A_D0_T001,20,HT_154,Plengkung Gading - A
2A_0,2A,0,2A_D0_T001,21,HT_153,Pilar
2A_0,2A,0,2A_D0_T001,22,HT_013,Banguntapan - A
2A_0,2A,0,2A_D0_T001,23,HT_048,Gembira Loka - A
2A_0,2A,0,2A_D0_T001,24,HT_183,SGM Kusumanegara - A
2A_0,2A,0,2A_D0_T001,25,HT_064,Jayakarta
2A_0,2A,0,2A_D0_T001,26,HT_004,Among Rogo - A
2A_0,2A,0,2A_D0_T001,27,HT_077,KR - A
2A_0,2A,0,2A_D0_T001,28,HT_235,Suryotomo
2A_0,2A,0,2A_D0_T001,29,HT_038,Eks Bioskop Mataram
2A_0,2A,0,2A_D0_T001,30,HT_077,KR - A
2A_0,2A,0,2A_D0_T001,31,HT_168,RS Bethesda
2A_0,2A,0,2A_D0_T001,32,HT_024,Cik Di Tiro
2A_0,2A,0,2A_D0_T001,33,HT_194,SMPN 1 - A
2A_0,2A,0,2A_D0_T001,34,HT_093,Kosudgama
2A_0,2A,0,2A_D0_T001,35,HT_261,UNY Colombo
2A_0,2A,0,2A_D0_T001,36,HT_167,RRI Gejayan
2A_0,2A,0,2A_D0_T001,37,HT_211,Santren
2A_0,2A,0,2A_D0_T001,38,HT_167,RRI Gejayan
2A_0,2A,0,2A_D0_T001,39,HT_245,Terminal Condongcatur
2B_0,2B,0,2B_D0_T001,0,HT_210,Sanata Dharma
2B_0,2B,0,2B_D0_T001,1,HT_208,Samirono
2B_0,2B,0,2B_D0_T001,2,HT_174,RS Panti Rapih
2B_0,2B,0,2B_D0_T001,3,HT_194,SMPN 1 - A
2B_0,2B,0,2B_D0_T001,4,HT_024,Cik Di Tiro
2B_0,2B,0,2B_D0_T001,5,HT_077,KR - A
2B_0,2B,0,2B_D0_T001,6,HT_192,SMP Kanisius Gayam - A
2B_0,2B,0,2B_D0_T001,7,HT_077,KR - A
2B_0,2B,0,2B_D0_T001,8,HT_004,Among Rogo - A
2B_0,2B,0,2B_D0_T001,9,HT_183,SGM Kusumanegara - A
2B_0,2B,0,2B_D0_T001,10,HT_183,SGM Kusumanegara - A
2B_0,2B,0,2B_D0_T001,11,HT_013,Banguntapan - A
2B_0,2B,0,2B_D0_T001,12,HT_013,Banguntapan - A
2B_0,2B,0,2B_D0_T001,13,HT_235,Suryotomo
2B_0,2B,0,2B_D0_T001,14,HT_014,Basen
2B_0,2B,0,2B_D0_T001,15,HT_014,Basen
2B_0,2B,0,2B_D0_T001,16,HT_045,Gambiran - A
2B_0,2B,0,2B_D0_T001,17,HT_265,Veteran
2B_0,2B,0,2B_D0_T001,18,HT_150,Pasty - A
2B_0,2B,0,2B_D0_T001,19,HT_146,Pasar Sepeda
2B_0,2B,0,2B_D0_T001,20,HT_123,Museum Perjuangan
2B_0,2B,0,2B_D0_T001,21,HT_163,Purawisata - A
2B_0,2B,0,2B_D0_T001,22,HT_089,Katamso
2B_0,2B,0,2B_D0_T001,23,HT_213,Senopati
2B_0,2B,0,2B_D0_T001,24,HT_075,KHA Dahlan - A
2B_0,2B,0,2B_D0_T001,25,HT_125,Ngabean
2B_0,2B,0,2B_D0_T001,26,HT_147,Pasar Serangan - A
2B_0,2B,0,2B_D0_T001,27,HT_077,KR - A
2B_0,2B,0,2B_D0_T001,28,HT_194,SMPN 1 - A
2B_0,2B,0,2B_D0_T001,29,HT_209,Samsat
2B_0,2B,0,2B_D0_T001,30,HT_194,SMPN 1 - A
2B_0,2B,0,2B_D0_T001,31,HT_054,Hotel Utara - A
2B_0,2B,0,2B_D0_T001,32,HT_020,Borobudur Plaza
2B_0,2B,0,2B_D0_T001,33,HT_124,Neutron Godean - A
2B_0,2B,0,2B_D0_T001,34,HT_001,AM Sangaji - A
2B_0,2B,0,2B_D0_T001,35,HT_087,Karangjati - A
2B_0,2B,0,2B_D0_T001,36,HT_119,Monjali - A
2B_0,2B,0,2B_D0_T001,37,HT_247,Terminal Jombor
2B_0,2B,0,2B_D0_T001,38,HT_119,Monjali - A
2B_0,2B,0,2B_D0_T001,39,HT_090,Kentungan
