trip_id,route_id,direction_id,stop_id,next_stop_id,segment_id,stop_sequence,tod_min,dep_tod_min_mod,travel_time_min,dist_m
2A_D0_T019,2A,0,HT_170,HT_045,HT_170->HT_045,18,561.0,561.0,2.0,385.8136039822722
2A_D0_T019,2A,0,HT_045,HT_030,HT_045->HT_030,19,563.0,563.0,1.0,507.89582354847795
2A_D0_T019,2A,0,HT_030,HT_201,HT_030->HT_201,20,564.0,564.0,1.0,331.2009133454766
2A_D0_T019,2A,0,HT_201,HT_154,HT_201->HT_154,21,565.0,565.0,1.0,3810.61864048991
2A_D0_T019,2A,0,HT_154,HT_153,HT_154->HT_153,22,566.0,566.0,1.0,4207.027895809453
2A_D0_T019,2A,0,HT_153,HT_013,HT_153->HT_013,23,567.0,567.0,2.0,632.4285019720276
2A_D0_T019,2A,0,HT_013,HT_048,HT_013->HT_048,24,569.0,569.0,2.0,661.7346884160944
2A_D0_T019,2A,0,HT_048,HT_183,HT_048->HT_183,25,571.0,571.0,2.0,764.2459410846355
2A_D0_T019,2A,0,HT_183,HT_064,HT_183->HT_064,26,573.0,573.0,2.0,3572.0221276221964
2A_D0_T019,2A,0,HT_064,HT_004,HT_064->HT_004,27,575.0,575.0,2.0,4162.364346932194
2A_D0_T019,2A,0,HT_004,HT_077,HT_004->HT_077,28,577.0,577.0,1.0,7472.777211191565
2A_D0_T019,2A,0,HT_077,HT_235,HT_077->HT_235,29,578.0,578.0,3.0,9155.531068522061
2A_D0_T019,2A,0,HT_235,HT_038,HT_235->HT_038,30,581.0,581.0,1.0,1224.7585858408772
2A_D0_T019,2A,0,HT_038,HT_077,HT_038->HT_077,31,582.0,582.0,3.0,8083.514811843999
2A_D0_T019,2A,0,HT_077,HT_168,HT_077->HT_168,32,585.0,585.0,3.0,7987.23896905524
2A_D0_T019,2A,0,HT_168,HT_024,HT_168->HT_024,33,588.0,588.0,1.0,329.7143162873189
2A_D0_T019,2A,0,HT_024,HT_194,HT_024->HT_194,34,589.0,589.0,1.0,549.1837445508238
2A_D0_T019,2A,0,HT_194,HT_093,HT_194->HT_093,35,590.0,590.0,1.0,340.47727738871885
2A_D0_T019,2A,0,HT_093,HT_261,HT_093->HT_261,36,591.0,591.0,3.0,907.4055359813601
2A_D0_T019,2A,0,HT_261,HT_167,HT_261->HT_167,37,594.0,594.0,1.0,265.09766244700586
2A_D0_T019,2A,0,HT_167,HT_211,HT_167->HT_211,38,595.0,595.0,3.0,1514.9036317627479
2A_D0_T019,2A,0,HT_211,HT_167,HT_211->HT_167,39,598.0,598.0,2.0,1514.9036317627479
2A_D0_T020,2A,0,HT_119,HT_247,HT_119->HT_247,2,536.0,536.0,3.0,786.5138552047989
2A_D0_T020,2A,0,HT_247,HT_119,HT_247->HT_119,3,539.0,539.0,3.0,786.5138552047989
2A_D0_T020,2A,0,HT_119,HT_119,HT_119->HT_119,4,542.0,542.0,3.0,0.0
2A_D0_T020,2A,0,HT_119,HT_087,HT_119->HT_087,5,545.0,545.0,3.0,1508.035735182472
2A_D0_T020,2A,0,HT_087,HT_001,HT_087->HT_001,6,548.0,548.0,3.0,1317.3338472263626
2A_D0_T020,2A,0,HT_001,HT_077,HT_001->HT_077,7,551.0,551.0,2.0,9114.960753828795
2A_D0_T020,2A,0,HT_077,HT_114,HT_077->HT_114,8,553.0,553.0,1.0,9220.989634180785
2A_D0_T020,2A,0,HT_114,HT_115,HT_114->HT_115,9,554.0,554.0,1.0,326.14955245357993
