segment_id,seg_median_min,seg_mean_min,seg_n,seg_p05,seg_p95,route_id,route_median_min
HT_092->HT_225,2.0,1.72,25,1.0,2.0,13,2.0
HT_093->HT_261,3.0,3.0,136,3.0,3.0,2A,2.0
HT_094->HT_065,1.0,1.0,24,1.0,1.0,11,3.0
HT_095->HT_088,1.0,1.0,22,1.0,1.0,L-1,2.0
HT_096->HT_040,2.0,1.8888888888888888,27,1.0,2.0,13,2.0
HT_097->HT_185,1.0,1.0,57,1.0,1.0,3A,2.0
HT_097->HT_223,2.0,2.0,73,2.0,2.0,15,2.0
HT_097->HT_242,3.0,3.0,35,3.0,3.0,3B,2.0
HT_098->HT_011,2.0,2.0,46,2.0,2.0,6,2.0
HT_098->HT_134,2.0,2.0,46,2.0,2.0,6,2.0
HT_098->HT_218,2.0,2.0,46,2.0,2.0,6,2.0
HT_099->HT_080,1.0,1.1333333333333333,30,1.0,2.0,14,1.0
HT_099->HT_203,2.0,2.0,60,2.0,2.0,12,1.0
HT_100->HT_070,4.0,3.5166666666666666,60,3.0,4.0,5B,3.0
HT_100->HT_127,1.0,1.0,24,1.0,1.0,4B,2.0
HT_100->HT_145,2.0,2.0,24,2.0,2.0,4A,2.0
HT_101->HT_007,2.0,1.5142857142857142,35,1.0,2.0,10,2.0
HT_101->HT_051,2.0,2.0,24,2.0,2.0,4B,2.0
HT_101->HT_077,2.0,2.0,24,2.0,2.0,4A,2.0
HT_101->HT_101,2.0,2.0,24,2.0,2.0,4A,2.0
HT_102->HT_125,5.0,5.0,53,5.0,5.0,9,3.0
HT_102->HT_184,1.0,1.0,34,1.0,1.0,10,2.0
HT_103->HT_123,3.0,3.0,35,3.0,3.0,3B,2.0
HT_103->HT_260,1.0,1.0,57,1.0,1.0,3A,2.0
HT_104->HT_047,2.0,2.0,46,2.0,2.0,6,2.0
HT_104->HT_189,2.0,2.0,46,2.0,2.0,6,2.0
HT_105->HT_259,1.0,1.0,30,1.0,1.0,14,1.0
HT_106->HT_055,2.0,2.0,101,2.0,2.0,12,1.0
HT_108->HT_159,2.0,2.0,48,2.0,2.0,4A,2.0
HT_109->HT_150,2.0,2.0,24,2.0,2.0,4A,2.0
HT_110->HT_110,2.0,1.8111111111111111,90,1.0,2.0,15,2.0
HT_110->HT_111,2.0,1.7982261640798227,451,1.0,2.0,1A,2.0
HT_111->HT_110,2.0,2.0,46,2.0,2.0,6,2.0
HT_111->HT_112,2.0,2.0,451,2.0,2.0,1A,2.0
HT_112->HT_016,3.0,3.0,22,3.0,3.0,L-1,2.0
HT_112->HT_075,2.0,1.8827838827838828,273,1.0,2.0,15,2.0
HT_112->HT_213,2.0,1.551948051948052,154,1.0,2.0,1A,2.0
HT_113->HT_116,4.0,4.0,76,4.0,4.0,3A,2.0
HT_114->HT_115,1.0,1.0,213,1.0,1.0,1A,2.0
HT_115->HT_110,3.0,3.39906103286385,213,3.0,4.0,1A,2.0
HT_116->HT_018,2.0,2.0,57,2.0,2.0,3A,2.0
HT_116->HT_042,2.0,2.0,19,2.0,2.0,5A,2.5
HT_116->HT_118,3.5,3.5,26,3.0,4.0,13,2.0
HT_117->HT_086,1.0,1.0,26,1.0,1.0,13,2.0
HT_117->HT_253,3.0,3.24,25,3.0,4.0,13,2.0
HT_118->HT_006,3.0,3.3846153846153846,26,3.0,4.0,13,2.0
HT_118->HT_029,2.0,1.9387096774193548,62,1.0975000000000006,2.0,8,2.0
HT_118->HT_114,7.0,7.0,37,7.0,7.0,8,2.0
HT_119->HT_087,3.0,3.0,69,3.0,3.0,2A,2.0
HT_119->HT_090,6.0,6.0,60,6.0,6.0,2B,2.0
HT_119->HT_119,3.0,3.0,69,3.0,3.0,2A,2.0
HT_119->HT_244,4.0,4.0,31,4.0,4.0,5B,3.0
HT_119->HT_247,3.0,3.0,129,3.0,3.0,2A,2.0
HT_120->HT_141,2.0,2.0,46,2.0,2.0,6,2.0
HT_120->HT_240,2.0,1.5679012345679013,81,1.0,2.0,6,2.0
HT_122->HT_051,2.0,2.0,24,2.0,2.0,4A,2.0
HT_122->HT_213,3.0,3.0,48,3.0,3.0,1B,2.0
HT_123->HT_074,2.0,2.0,35,2.0,2.0,3B,2.0
HT_123->HT_163,3.0,3.0,60,3.0,3.0,2B,2.0
HT_124->HT_001,2.0,2.0,60,2.0,2.0,2B,2.0
HT_124->HT_046,3.0,3.0,19,3.0,3.0,5A,2.5
HT_124->HT_058,1.0,1.0,23,1.0,1.0,13,2.0
HT_124->HT_093,5.0,5.0,19,5.0,5.0,5A,2.5
HT_124->HT_157,1.0,1.0,25,1.0,1.0,13,2.0
HT_125->HT_049,5.0,5.0,73,5.0,5.0,15,2.0
HT_125->HT_073,4.0,4.4818181818181815,110,4.0,5.0,3A,2.0
HT_125->HT_075,3.0,2.610169491525424,118,2.0,3.0,6,2.0
HT_125->HT_102,2.0,1.6,35,1.0,2.0,10,2.0
HT_125->HT_120,2.0,2.0,46,2.0,2.0,6,2.0
HT_125->HT_147,3.0,2.8823529411764706,85,2.0,3.0,2B,2.0
HT_126->HT_269,2.0,2.0,35,2.0,2.0,3B,2.0
HT_127->HT_100,2.0,2.0,24,2.0,2.0,4A,2.0
HT_127->HT_205,2.0,2.0,24,2.0,2.0,4B,2.0
HT_128->HT_134,2.0,2.0,46,2.0,2.0,6,2.0
HT_129->HT_047,5.0,5.0,85,5.0,5.0,1A,2.0
HT_129->HT_100,2.0,2.0,24,2.0,2.0,4B,2.0
HT_130->HT_245,3.0,2.75,76,2.0,3.0,3A,2.0
HT_131->HT_156,3.0,3.0,24,3.0,3.0,4B,2.0
HT_132->HT_128,2.0,2.0,46,2.0,2.0,6,2.0
HT_133->HT_009,1.0,1.0,73,1.0,1.0,15,2.0
HT_133->HT_041,1.0,1.0,73,1.0,1.0,15,2.0
HT_134->HT_008,2.0,2.0,46,2.0,2.0,6,2.0
HT_134->HT_152,2.0,2.0,35,2.0,2.0,10,2.0
HT_134->HT_158,2.0,2.0,46,2.0,2.0,6,2.0
HT_134->HT_188,2.0,2.0,72,2.0,2.0,8,2.0
HT_135->HT_050,2.0,2.0,81,2.0,2.0,3A,2.0
HT_135->HT_246,2.0,2.0,81,2.0,2.0,3A,2.0
HT_136->HT_166,1.0,1.0,30,1.0,1.0,14,1.0
HT_137->HT_072,4.0,4.0,37,4.0,4.0,8,2.0
HT_137->HT_077,4.0,4.0,85,4.0,4.0,1A,2.0
HT_138->HT_016,1.0,1.0,85,1.0,1.0,1A,2.0
HT_139->HT_046,2.0,1.9321428571428574,42,1.0975000000000006,2.0,12,1.0
HT_140->HT_065,1.0,1.0,22,1.0,1.0,13,2.0
HT_140->HT_114,2.0,2.0,22,2.0,2.0,L-1,2.0
HT_141->HT_120,2.0,2.0,46,2.0,2.0,6,2.0
HT_141->HT_189,2.0,2.0,46,2.0,2.0,6,2.0
HT_142->HT_034,2.0,2.0,73,2.0,2.0,15,2.0
HT_142->HT_222,4.0,4.0,73,4.0,4.0,15,2.0
HT_143->HT_230,1.0,1.0,22,1.0,1.0,L-1,2.0
HT_143->HT_271,1.0,1.0,120,1.0,1.0,1B,2.0
HT_144->HT_140,4.0,3.576923076923077,26,3.0,4.0,13,2.0
HT_145->HT_122,2.0,2.0,24,2.0,2.0,4A,2.0
HT_146->HT_123,4.0,4.0,60,4.0,4.0,2B,2.0
HT_146->HT_127,2.0,2.0,24,2.0,2.0,4A,2.0
HT_147->HT_077,2.0,2.0,113,2.0,2.0,2B,2.0
HT_147->HT_186,2.0,2.0,25,2.0,2.0,13,2.0
HT_148->HT_072,3.0,3.0,24,3.0,3.0,11,3.0
HT_149->HT_116,1.0,1.0,26,1.0,1.0,13,2.0
HT_149->HT_179,2.0,1.76,25,1.0,2.0,13,2.0
HT_150->HT_034,2.0,2.0,73,2.0,2.0,15,2.0
HT_150->HT_035,2.0,2.0,102,2.0,2.0,15,2.0
HT_150->HT_076,4.0,4.0,37,4.0,4.0,8,2.0
HT_150->HT_146,2.0,2.0,60,2.0,2.0,2B,2.0
HT_150->HT_264,2.0,2.0,24,2.0,2.0,4A,2.0
HT_151->HT_097,2.0,2.0,35,2.0,2.0,3B,2.0
HT_153->HT_013,2.0,2.0,126,2.0,2.0,2A,2.0
HT_154->HT_019,2.0,2.0,57,2.0,2.0,3A,2.0
HT_154->HT_072,5.0,5.0,29,5.0,5.0,9,3.0
HT_154->HT_153,1.0,1.4523809523809523,126,1.0,2.0,2A,2.0
HT_154->HT_162,2.0,2.0,57,2.0,2.0,3A,2.0
HT_155->HT_098,2.0,2.0,46,2.0,2.0,6,2.0
HT_156->HT_018,4.0,4.0,24,4.0,4.0,4B,2.0
