stop_id,stop_name,lat,lon,source_rows
HT_241,Tarumartani - A,-7.790501,110.381988,1
HT_242,Tegal Gendu - A,-7.826047,110.391763,1
HT_243,Tegal Turi - A,-7.825394,110.387097,1
HT_244,Teknik UGM - A,-7.764241,110.374625,1
HT_245,Terminal Condongcatur,-7.756625,110.395875,1
HT_246,Terminal Giwangan,-7.834176,110.391835,1
HT_247,Terminal Jombor,-7.747405,110.361238,1
HT_248,Terminal Pakem,-7.666865,110.419988,1
HT_249,Terminal Palbapang,-7.905322,110.318426,1
HT_250,Terminal Prambanan,-7.755659,110.489817,1
HT_251,Timoho - A,-7.795313,110.392821,1
HT_252,Timur Jembatan Yapah - A,-7.705049,110.43919,1
HT_253,Toko Saerah - A,-7.776179,110.327786,1
HT_254,Tugu Adipura,-7.889221,110.327038,1
HT_255,Tugu Batas Desa Yapah - A,-7.703803,110.442614,1
HT_256,UIN Sunan Kalijaga - A,-7.786192,110.394844,1
HT_257,UKDW,-7.785524,110.378843,1
HT_258,UMY - A,-7.810704,110.324509,1
HT_259,UNRIYO - A,-7.74633,110.434167,1
HT_260,UNU,-7.819767,110.376455,1
HT_261,UNY Colombo,-7.777757,110.386689,1
HT_262,UTY Glagahsari - A,-7.805533,110.388438,1
HT_263,Universitas Aisyiyah,-7.768221,110.334536,1
HT_264,Universitas Alma Ata,-7.818408,110.324131,1
HT_265,Veteran,-7.815228,110.389139,1
HT_266,Vokasi UGM,-7.774525,110.374977,1
HT_267,Wedangan Kampoeng - A,-7.702736,110.413581,1
HT_268,Westlake - A,-7.749237,110.341112,1
HT_269,Widya Wiwaha - A,-7.822717,110.377625,1
HT_270,Wirosaban,-7.824776,110.379247,1
HT_271,Wojo (Randubelang) - A,-7.831416,110.373919,1
HT_272,Wonocatur,-7.798619,110.406405,1
HT_273,YAKKUM - A,-7.695592,110.418017,1
